Tsaymi tsay dyablu ashiq shamuykaa dokumentuta kutitsimaananpaq.	Por eso vengo buscando ese diablo para que me devuelva el documento.”	CRH-108-077	[['tsay[PRON]+mi[Asrt]'], ['tsay[DET]'], ['dyablu[N]'], ['ashi[VTr]+q[Agt]'], ['shamu[VTr]+YkaA[Prog]+ː[1]'], ['dokumentu[N]+ta[Obj]'], ['kuti[VInt]+tsi[Caus]+maA[1.Obj]+na[Pot](N)+n[Poss.3]+paq[Ben]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('tsay', 'tsay')], [('dyablu', 'dyablu')], [('ashi', 'ashi'), ('q', 'q')], [('shamu', 'shamu'), ('yka', 'YkaA'), ('a', 'ː')], [('dokumentu', 'dokumentu'), ('ta', 'ta')], [('kuti', 'kuti'), ('tsi', 'tsi'), ('maa', 'maA'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['tsay[DET]', 'tsay[PRON]'], ['dyablu[N]'], ['ashi[VTr]+q[Hab]', 'ashi[VTr]+q[1.Sbj][2.Obj]', 'ashi[VTr]+q[Agt]'], ['shamu[VTr]+YkaA[Prog]+ː[1]'], ['dokumentu[N]+ta[Obj]'], ['kuti[VInt]+tsi[Caus]+maA[1.Obj]+na[Pot](N)+n[Poss.3]+paq[Ben]']]
Tsayta nikuptin warmiiqa ayqipa aywakamurqun, mana nuqatapis willamashniipa.	Cuando dijo eso, mi esposa vino corriendo, sin decirme nada.	CRH-17-120	[['tsay[PRON.Dem]+ta[Obj]'], ['ni[VTr]+yku[Intens]+pti[Cnv](N)+n[Poss.3]'], ['warmi[N]+ː[Poss.1Sg]+qa[Top]'], ['ayqi[VInt]+y[Inf]+pa[Man](ADV)'], ['aywa[VTr]+kU[Refl/Mid]+mu[Cis]+rqu[RecPst]+n[3]'], ['mana[ADV]'], ['nuqa[PRON.Prs]+ta[Obj]+pis[Coord]'], ['willa[VTr]+maA[1.Obj]+sh[Grd]+ː[Poss.1Sg]+pa[Man]']]	[[('Tsay', 'tsay'), ('ta', 'ta')], [('ni', 'ni'), ('yku', 'yku'), ('pti', 'pti'), ('n', 'n')], [('warmi', 'warmi'), ('i', 'ː'), ('qa', 'qa')], [('ayqi', 'ayqi'), (0, 'y'), ('pa', 'pa')], [('aywa', 'aywa'), ('ka', 'kU'), ('mu', 'mu'), ('rqu', 'rqu'), ('n', 'n')], [('mana', 'mana')], [('nuqa', 'nuqa'), ('ta', 'ta'), ('pis', 'pis')], [('willa', 'willa'), ('ma', 'maA'), ('sh', 'sh'), ('ni', 0), ('i', 'ː'), ('pa', 'pa')]]	[['tsay[PRON]+ta[Obj]', 'tsay[PRON.Dem]+ta[Obj]'], ['ni[VTr]+yku[Intens]+pti[Cnv](N)+n[Poss.3]', 'ni[VTr]+kU[Refl/Mid]+pti[Cnv](N)+n[Poss.3]'], ['warmi[N]+ː[Poss.1Sg]+qa[Top]'], ['ayqipa[UNK]'], ['aywa[VTr]+kaA[Pass]+mu[Cis]+rqu[RecPst]+n[3]', 'aywa[VTr]+kU[Refl/Mid]+mu[Cis]+rqu[RecPst]+n[3]'], ['mana[INTJ]', 'mana[ADV]'], ['nuqa[PRON.Prs]+ta[Obj]+pis[Coord]'], ['willamashniipa[UNK]']]
Peru puwaq watachaw limpunam alliyarqan, segidu konfesakuyaptii.	Pero en los ocho años se mejoró bastante, ya que nos confesamos frecuentemente.	CRH-17-139	[['peru[CCONJ]'], ['puwaq[NUM.Card]'], ['wata[N]+chaw[Loc]'], ['limpu[ADV]+na[Acp]+mi[Asrt]'], ['alli[ADJ]+yaA[Transf](VInt)+rqa[Pst]+n[3]'], ['segidu[ADV]'], ['konfesa[V]+kU[Refl/Mid]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]']]	[[('Peru', 'peru')], [('puwaq', 'puwaq')], [('wata', 'wata'), ('chaw', 'chaw')], [('limpu', 'limpu'), ('na', 'na'), ('m', 'mi')], [('alli', 'alli'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')], [('segidu', 'segidu')], [('konfesa', 'konfesa'), ('ku', 'kU'), ('ya', 'yaA'), ('pti', 'pti'), ('i', 'ː')]]	[['peru[CCONJ]'], ['puwa[VInt]+q[Hab]', 'puwa[VInt]+q[Agt]', 'puwaq[NUM.Card]', 'puwa[VInt]+q[1.Sbj][2.Obj]'], ['wata[N]+chaw[Loc]'], ['limpu[ADV]+na[Acp]+mi[Asrt]'], ['alli[ADJ]+yaA[Transf](VInt)+rqa[Pst]+n[3]'], ['segidu[UNK]'], ['konfesa[V]+kU[Refl/Mid]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]']]
Despwesnam chakrata alistantsik unaypita saachikur.	Después, alistamos la chacra con abono de animales durante mucho tiempo.	CRH-19-004	[['despwes[ADV]+na[Acp]+mi[Asrt]'], ['chakra[N]+ta[Obj]'], ['alista[VTr]+ntsik[2Pl.Inc]'], ['unay[N]+pita[Abl]'], ['saachi[VTr]+yku[Intens]+r[Cnv](N)']]	[[('Despwes', 'despwes'), ('na', 'na'), ('m', 'mi')], [('chakra', 'chakra'), ('ta', 'ta')], [('alista', 'alista'), ('ntsik', 'ntsik')], [('unay', 'unay'), ('pita', 'pita')], [('saachi', 'saachi'), ('ku', 'yku'), ('r', 'r')]]	[['despwes[ADV]+na[Acp]+mi[Asrt]'], ['chakra[N]+ta[Obj]'], ['alista[VTr]+ntsik[1Pl.Inc]'], ['unay[N]+pita[Abl]'], ['saachi[VTr]+kU[Refl/Mid]+r[Cnv](N)', 'saachi[VTr]+yku[Intens]+r[Cnv](N)']]
I tsaynam alli byentu karqa shumaq akraramun huk laduman pahata i huk laduman limpyu triguta.	Cuando hay buen viento, éste separa muy bien la paja a un lado y el trigo limpio a otro lado.	CRH-21-027	[['i[CCONJ]'], ['tsayna[ADV]+mi[Asrt]'], ['alli[ADJ]'], ['byentu[N]'], ['ka[AUX]+r[Cnv](N)+qa[Top]'], ['shumaq[ADJ]'], ['akra[VTr]+rI[Pct]+mu[Cis]+n[3]'], ['huk[DET]'], ['ladu[N]+man[Dat]'], ['paha[N]+ta[Obj]'], ['i[CCONJ]'], ['huk[DET]'], ['ladu[N]+man[Dat]'], ['limpyu[ADJ]'], ['trigu[N]+ta[Obj]']]	[[('I', 'i')], [('tsayna', 'tsayna'), ('m', 'mi')], [('alli', 'alli')], [('byentu', 'byentu')], [('ka', 'ka'), ('r', 'r'), ('qa', 'qa')], [('shumaq', 'shumaq')], [('akra', 'akra'), ('ra', 'rI'), ('mu', 'mu'), ('n', 'n')], [('huk', 'huk')], [('ladu', 'ladu'), ('man', 'man')], [('paha', 'paha'), ('ta', 'ta')], [('i', 'i')], [('huk', 'huk')], [('ladu', 'ladu'), ('man', 'man')], [('limpyu', 'limpyu')], [('trigu', 'trigu'), ('ta', 'ta')]]	[['i[CCONJ]'], ['tsay[PRON]+na[Acp]+mi[Asrt]'], ['alli[ADJ]', 'alli[ADV]'], ['byentu[UNK]'], ['ka[AUX]+r[Cnv](N)+qa[Top]', 'ka[AUX]+rqa[Pst][3]'], ['shumaq[ADJ]'], ['akra[VTr]+rI[Pct]+mu[Cis]+n[3]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['ladu[N]+man[Dat]'], ['pahata[UNK]'], ['i[CCONJ]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['ladu[N]+man[Dat]'], ['limpyu[UNK]'], ['trigu[N]+ta[Obj]']]
I tantata ruranapaqnam, puntata triguta paqantsik atska yakuchaw.	Para hacer pan, primero lavamos el trigo en bastante agua.	CRH-21-031	[['i[CCONJ]'], ['tanta[N]+ta[Obj]'], ['rura[VTr]+na[Pot](N)+paq[Ben]+na[Acp]+mi[Asrt]'], ['punta[N]+ta[Obj]'], ['trigu[N]+ta[Obj]'], ['paqa[VTr]+ntsik[2Pl.Inc]'], ['atska[ADV]'], ['yaku[N]+chaw[Loc]']]	[[('I', 'i')], [('tanta', 'tanta'), ('ta', 'ta')], [('rura', 'rura'), ('na', 'na'), ('paq', 'paq'), ('na', 'na'), ('m', 'mi')], [('punta', 'punta'), ('ta', 'ta')], [('trigu', 'trigu'), ('ta', 'ta')], [('paqa', 'paqa'), ('ntsik', 'ntsik')], [('atska', 'atska')], [('yaku', 'yaku'), ('chaw', 'chaw')]]	[['i[CCONJ]'], ['tanta[N]+ta[Obj]'], ['rura[VTr]+naA[Prosp]+pa[Apl]+q[Agt]+na[Acp]+mi[Asrt]', 'rura[VTr]+naA[Prosp]+pa[Apl]+q[Hab]+na[Acp]+mi[Asrt]', 'rura[VTr]+naA[Prosp]+paA[Exc]+q[Hab]+na[Acp]+mi[Asrt]', 'rura[VTr]+na[Pot](N)+paq[Ben]+na[Acp]+mi[Asrt]', 'rura[VTr]+naA[Prosp]+pa[Apl]+q[1.Sbj][2.Obj]+na[Acp]+mi[Asrt]', 'rura[VTr]+naA[Prosp]+paA[Exc]+q[Agt]+na[Acp]+mi[Asrt]', 'rura[VTr]+naA[Prosp]+paA[Exc]+q[1.Sbj][2.Obj]+na[Acp]+mi[Asrt]'], ['punta[N]+ta[Obj]'], ['trigu[N]+ta[Obj]'], ['paqa[VTr]+ntsik[1Pl.Inc]'], ['atska[ADV]'], ['yaku[N]+chaw[Loc]']]
I despwesnam yapay kutipantsik uryar hatusaqtana.	Después otra vez volvemos a cultivarlo cuando ya es grande.	CRH-22-010	[['i[CCONJ]'], ['despwes[ADV]+na[Acp]+mi[Asrt]'], ['yapay[ADV]'], ['kuti[VInt]+pa[Apl]+ntsik[2Pl.Inc]'], ['urya[VTr]+r[Cnv](N)'], ['hatusaq[ADJ]+ta[Obj](ADV)+na[Acp]']]	[[('I', 'i')], [('despwes', 'despwes'), ('na', 'na'), ('m', 'mi')], [('yapay', 'yapay')], [('kuti', 'kuti'), ('pa', 'pa'), ('ntsik', 'ntsik')], [('urya', 'urya'), ('r', 'r')], [('hatusaq', 'hatusaq'), ('ta', 'ta'), ('na', 'na')]]	[['i[CCONJ]'], ['despwes[ADV]+na[Acp]+mi[Asrt]'], ['yapa[VTr]+y[Imp.2]', 'yapa[VTr]+y[Inf]', 'yapay[ADV]'], ['kuti[VInt]+pa[Apl]+ntsik[1Pl.Inc]'], ['urya[VTr]+r[Cnv](N)'], ['hatusaqtana[UNK]']]
Tsaytaman warmikuna putskayan tramata shumaq parehulla.	A ésa las mujeres hilan la trama, bien parejo.	CRH-23-006	[['tsay[PRON.Dem]+ta[Obj]+man[Dat]'], ['warmi[N]+kuna[Pl]'], ['putska[VTr]+yaA[VPl]+n[3]'], ['trama[N]+ta[Obj]'], ['shumaq[ADV]'], ['parehu[ADJ]+lla[Lim]']]	[[('Tsay', 'tsay'), ('ta', 'ta'), ('man', 'man')], [('warmi', 'warmi'), ('kuna', 'kuna')], [('putska', 'putska'), ('ya', 'yaA'), ('n', 'n')], [('trama', 'trama'), ('ta', 'ta')], [('shumaq', 'shumaq')], [('parehu', 'parehu'), ('lla', 'lla')]]	[['tsay[PRON.Dem]+ta[Obj]+man[Dat]'], ['warmi[N]+kuna[Pl]'], ['putska[VTr]+yaA[VPl]+n[3]', 'putska[N]+yaA[Transf](VInt)+n[3]', 'putska[N]+yan[Dist]'], ['tramata[UNK]'], ['shumaq[ADJ]'], ['parehulla[UNK]']]
Tiñirikurnam, tsakitsintsik hiluta kururanapaq.	Después de teñir, secamos el hilo para enrollar.	CRH-23-015	[['tiñi[V]+ri[Pct]+yku[Intens]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['tsaki[VInt]+tsi[Caus]+ntsik[1Pl.Inc]'], ['hilu[N]+ta[Obj]'], ['kurura[VInt]+na[Pot](N)+paq[Ben]']]	[[('Tiñi', 'tiñi'), ('ri', 'ri'), ('ku', 'yku'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('tsaki', 'tsaki'), ('tsi', 'tsi'), ('ntsik', 'ntsik')], [('hilu', 'hilu'), ('ta', 'ta')], [('kurura', 'kurura'), ('na', 'na'), ('paq', 'paq')]]	[['tiñi[V]+rI[Pct]+yku[Intens]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['tsaki[VInt]+tsi[Caus]+ntsik[1Pl.Inc]'], ['hilu[N]+ta[Obj]'], ['kuru[V]+rI[Pct]+na[Pot](N)+paq[Ben]']]
Paynam telarchaw awamun lisuswan, tsaktar.	El la teje en telar con lizo, golpeando.	CRH-23-018	[['pay[PRON.Prs]+na[Acp]+mi[Asrt]'], ['telar[N]+chaw[Loc]'], ['awa[VTr]+mu[Cis]+n[3]'], ['lisus[N]+wan[Com]'], ['tsakta[VTr]+r[Cnv](N)']]	[[('Pay', 'pay'), ('na', 'na'), ('m', 'mi')], [('telar', 'telar'), ('chaw', 'chaw')], [('awa', 'awa'), ('mu', 'mu'), ('n', 'n')], [('lisus', 'lisus'), ('wan', 'wan')], [('tsakta', 'tsakta'), ('r', 'r')]]	[['pay[PRON.Prs]+na[Acp]+mi[Asrt]'], ['telarchaw[UNK]'], ['awa[VTr]+mu[Cis]+n[3]'], ['lisuswan[UNK]'], ['tsakta[VTr]+r[Cnv](N)']]
Tsaynawmi almwersu usharin diya quya.	Así termina el almuerzo en la mañana del día de la fiesta.	CRH-29-082	[['tsaynaw[ADV]+mi[Asrt]'], ['almwersu[N]'], ['usha[VTr]+rI[Pct]+n[3]'], ['diya[N]'], ['quya[N]']]	[[('Tsaynaw', 'tsaynaw'), ('mi', 'mi')], [('almwersu', 'almwersu')], [('usha', 'usha'), ('ri', 'rI'), ('n', 'n')], [('diya', 'diya')], [('quya', 'quya')]]	[['tsay[PRON]+naw[Equ]+mi[Asrt]', 'tsaynaw[ADV]+mi[Asrt]'], ['almwersu[N]'], ['usha[VTr]+rI[Pct]+n[3]'], ['diya[N]'], ['quya[N]']]
Puntata apan kankata, aytsa kankashqata.	Primero lleva asado, carne asada.	CRH-29-104	[['punta[N]+ta[Obj]'], ['apa[VTr]+n[3]'], ['kanka[N]+ta[Obj]'], ['aytsa[N]'], ['kanka[VTr]+shqa[Prf](N)+ta[Obj]']]	[[('Punta', 'punta'), ('ta', 'ta')], [('apa', 'apa'), ('n', 'n')], [('kanka', 'kanka'), ('ta', 'ta')], [('aytsa', 'aytsa')], [('kanka', 'kanka'), ('shqa', 'shqa'), ('ta', 'ta')]]	[['punta[N]+ta[Obj]'], ['apa[VTr]+n[3]'], ['kanka[N]+ta[Obj]'], ['aytsa[N]'], ['kanka[VTr]+shqa[Prf](N)+ta[Obj]']]
Tsay nunakuna asiytsu bullayan, “Allaapa fwertim,” nishpa, i unaymi duraykatsiyan tsay washkuta.	Esa gente seriamente hacen bulla diciendo, “Es muy fuerte,” y hacen durar mucho tiempo ese alcohol.	CRH-29-128	[['tsay[DET]'], ['nuna[N]+kuna[Pl]'], ['asi[VInt]+y[Inf]+tsu[Neg]'], ['bulla[VInt]+yaA[VPl]+n[3]'], ['allaapa[ADV]'], ['fwerti[ADJ]+mi[Asrt]'], ['ni[VTr]+shpa[Grd]'], ['i[CCONJ]'], ['unay[N]+mi[Asrt]'], ['dura[VInt]+yku[Intens]+tsi[Caus]+yaA[VPl]+n[3]'], ['tsay[DET]'], ['washku[N]+ta[Obj]']]	[[('Tsay', 'tsay')], [('nuna', 'nuna'), ('kuna', 'kuna')], [('asi', 'asi'), ('y', 'y'), ('tsu', 'tsu')], [('bulla', 'bulla'), ('ya', 'yaA'), ('n', 'n')], [('Allaapa', 'allaapa')], [('fwerti', 'fwerti'), ('m', 'mi')], [('ni', 'ni'), ('shpa', 'shpa')], [('i', 'i')], [('unay', 'unay'), ('mi', 'mi')], [('dura', 'dura'), ('yka', 'yku'), ('tsi', 'tsi'), ('ya', 'yaA'), ('n', 'n')], [('tsay', 'tsay')], [('washku', 'washku'), ('ta', 'ta')]]	[['tsay[DET]', 'tsay[PRON]'], ['nuna[N]+kuna[Pl]'], ['asi[VInt]+y[Inf]+tsu[Neg]', 'asi[VInt]+y[Imp.2]+tsu[Neg]'], ['bulla[N]+yaA[Transf](VInt)+n[3]', 'bulla[N]+yan[Dist]', 'bulla[V]+yaA[VPl]+n[3]'], ['allaapa[ADV]', 'allaapa[N]'], ['fwertim[UNK]'], ['nish[ADV]+pa[Man]', 'ni[VTr]+shpa[Grd]', 'nish[ADV]+pa[Gen]', 'nish[ADV]+pa[Prol]'], ['i[CCONJ]'], ['unay[N]+mi[Asrt]'], ['duraykatsiyan[UNK]'], ['tsay[DET]', 'tsay[PRON]'], ['washku[N]+ta[Obj]']]
Nuqapis pokullaqa riqiiran tsay awkista.	Yo también conocía un poco a ese viejo.	CRH-30-026	[['nuqa[PRON.Prs]+pis[Coord]'], ['poku[ADV]+lla[Lim]+qa[Top]'], ['riqi[VTr]+ː[1]+ran[Inacp]'], ['tsay[DET]'], ['awkis[N]+ta[Obj]']]	[[('Nuqa', 'nuqa'), ('pis', 'pis')], [('poku', 'poku'), ('lla', 'lla'), ('qa', 'qa')], [('riqi', 'riqi'), ('i', 'ː'), ('ran', 'ran')], [('tsay', 'tsay')], [('awkis', 'awkis'), ('ta', 'ta')]]	[['nuqa[PRON.Prs]+pis[Coord]'], ['pokullaqa[UNK]'], ['riqi[VTr]+ː[1]+ran[Inacp]'], ['tsay[DET]', 'tsay[PRON]'], ['awkis[N]+ta[Obj]']]
I despwesshi hatusaq waskakunapa hina quchapita yakuta winarayaamuq.	Después con sogas largas también llenaban las botellas con agua del centro de la laguna.	CRH-30-046	[['i[CCONJ]'], ['despwes[ADV]+shi[Nfh]'], ['hatusaq[ADJ]'], ['waska[N]+kuna[Pl]+pa[Man]'], ['hina[ADV]'], ['qucha[N]+pita[Abl]'], ['yaku[N]+ta[Obj]'], ['wina[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+q[Hab]']]	[[('I', 'i')], [('despwes', 'despwes'), ('shi', 'shi')], [('hatusaq', 'hatusaq')], [('waska', 'waska'), ('kuna', 'kuna'), ('pa', 'pa')], [('hina', 'hina')], [('qucha', 'qucha'), ('pita', 'pita')], [('yaku', 'yaku'), ('ta', 'ta')], [('wina', 'wina'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('q', 'q')]]	[['i[CCONJ]'], ['despwes[ADV]+shi[Nfh]'], ['hatusaq[ADJ]'], ['waska[N]+kuna[Pl]+pa[Prol]', 'waska[N]+kuna[Pl]+pa[Man]', 'waska[N]+kuna[Pl]+pa[Gen]'], ['hina[ADV]', 'hina[N]'], ['qucha[N]+pita[Abl]'], ['yaku[N]+ta[Obj]'], ['wina[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+q[Hab]', 'wina[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+q[Hab]']]
Kananqa parqun ishkay killa.	Ahora riega por dos meses.	CRH-30-083	[['kanan[ADV]+qa[Top]'], ['parqu[VTr]+n[3]'], ['ishkay[NUM.Card]'], ['killa[N]']]	[[('Kanan', 'kanan'), ('qa', 'qa')], [('parqu', 'parqu'), ('n', 'n')], [('ishkay', 'ishkay')], [('killa', 'killa')]]	[['ka[AUX]+naA[Prosp]+nqa[Sub](N)', 'ka[AUX]+na[Pot](N)+n[Poss.3]+qa[Top]', 'ka[AUX]+naA[Prosp]+nqa[Fut.3]', 'ka[AUX]+naA[Prosp]+n[3]+qa[Top]', 'kanan[ADV]+qa[Top]'], ['parqu[VTr]+n[3]'], ['ishka[VInt]+y[Inf]', 'ishka[VInt]+y[Imp.2]', 'ishkay[NUM.Card]'], ['killa[N]']]
Kasamyentu ushariptin, padrinu apan wayinman nobyukunata i llapan basallukunata chaaratsir, qaran desayunuta.	Después del matrimonio, el padrino lleva los novios a su casa y cuando ha traído todo el cortejo les da desayuno.	CRH-31-004	[['kasamyentu[N]'], ['usha[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['padrinu[N]'], ['apa[VTr]+n[3]'], ['wayi[N]+n[Poss.3]+man[Dat]'], ['nobyu[N]+kuna[Pl]+ta[Obj]'], ['i[CCONJ]'], ['llapan[ADJ]'], ['basallu[N]+kuna[Pl]+ta[Obj]'], ['chaa[VTr]+rI[Pct]+tsi[Caus]+r[Cnv](N)'], ['qara[VTr]+n[3]'], ['desayunu[N]+ta[Obj]']]	[[('Kasamyentu', 'kasamyentu')], [('usha', 'usha'), ('ri', 'rI'), ('pti', 'pti'), ('n', 'n')], [('padrinu', 'padrinu')], [('apa', 'apa'), ('n', 'n')], [('wayi', 'wayi'), ('n', 'n'), ('man', 'man')], [('nobyu', 'nobyu'), ('kuna', 'kuna'), ('ta', 'ta')], [('i', 'i')], [('llapan', 'llapan')], [('basallu', 'basallu'), ('kuna', 'kuna'), ('ta', 'ta')], [('chaa', 'chaa'), ('ra', 'rI'), ('tsi', 'tsi'), ('r', 'r')], [('qara', 'qara'), ('n', 'n')], [('desayunu', 'desayunu'), ('ta', 'ta')]]	[['kasamyentu[UNK]'], ['usha[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['padrinu[N]'], ['apa[VTr]+n[3]'], ['wayi[N]+n[Poss.3]+man[Dat]'], ['nobyukunata[UNK]'], ['i[CCONJ]'], ['llapa[PRON]+n[Poss.3]', 'llapan[ADJ]'], ['basallukunata[UNK]'], ['chaa[VTr]+rI[Pct]+tsi[Caus]+r[Cnv](N)'], ['qara[N]+n[Poss.3]', 'qara[VTr]+n[3]'], ['desayunu[N]+ta[Obj]']]
Hukman aywayaq hina tsaynawlla.	Fueron todavía a otro, con el mismo resultado.	CRH-32-085	[['huk[NUM.Card]+man[Dat]'], ['aywa[VTr]+yaA[VPl]+q[Hab]'], ['hina[ADV]'], ['tsay[PRON]+naw[Equ]+lla[Lim]']]	[[('Huk', 'huk'), ('man', 'man')], [('aywa', 'aywa'), ('ya', 'yaA'), ('q', 'q')], [('hina', 'hina')], [('tsay', 'tsay'), ('naw', 'naw'), ('lla', 'lla')]]	[['huk[NUM.Card]+man[Dat]', 'huk[PRON]+man[Dat]'], ['aywa[VTr]+yaA[VPl]+q[1.Sbj][2.Obj]', 'aywa[VTr]+yaA[VPl]+q[Agt]', 'aywa[VTr]+yaA[VPl]+q[Hab]'], ['hina[ADV]', 'hina[N]'], ['tsay[PRON]+naw[Equ]+lla[Lim]', 'tsaynaw[ADV]+lla[Lim]']]
I belaqa upiriq.	La vela se apagó.	CRH-33-012	[['i[CCONJ]'], ['bela[N]+qa[Top]'], ['upi[VInt]+rI[Pct]+q[Hab]']]	[[('I', 'i')], [('bela', 'bela'), ('qa', 'qa')], [('upi', 'upi'), ('ri', 'rI'), ('q', 'q')]]	[['i[CCONJ]'], ['bela[N]+qa[Top]'], ['upi[VInt]+rI[Pct]+q[Agt]', 'upi[VInt]+rI[Pct]+q[Hab]', 'upi[VInt]+rI[Pct]+q[1.Sbj][2.Obj]']]
Tsaynawmi kay Chontachawpis warmikuna rurayan wawankuna o quwankuna maytapis aywaptin o rekluta apayashqa kayaptin.	Así hacen las mujeres aquí en Chontayoc también cuando sus hijos o sus esposos van a algún sitio o cuando lo llevan de recluta al ejército.	CRH-33-031	[['tsay[PRON]+naw[Equ]+mi[Asrt]'], ['kay[DET]'], ['chonta[PROPN]+chaw[Loc]+pis[Coord]'], ['warmi[N]+kuna[Pl]'], ['rura[VTr]+yaA[VPl]+n[3]'], ['wawa[N]+n[Poss.3]+kuna[Pl]'], ['o[CCONJ]'], ['quwa[N]+n[Poss.3]+kuna[Pl]'], ['may[PRON]+ta[Obj]+pis(Pron.Indef)'], ['aywa[VTr]+pti[Cnv](N)+n[Poss.3]'], ['o[CCONJ]'], ['rekluta[N]'], ['apa[VTr]+yaA[VPl]+shqa[Prf](N)'], ['ka[AUX]+yaA[VPl]+pti[Cnv](N)+n[Poss.3]']]	[[('Tsay', 'tsay'), ('naw', 'naw'), ('mi', 'mi')], [('kay', 'kay')], [('Chonta', 'chonta'), ('chaw', 'chaw'), ('pis', 'pis')], [('warmi', 'warmi'), ('kuna', 'kuna')], [('rura', 'rura'), ('ya', 'yaA'), ('n', 'n')], [('wawa', 'wawa'), ('n', 'n'), ('kuna', 'kuna')], [('o', 'o')], [('quwa', 'quwa'), ('n', 'n'), ('kuna', 'kuna')], [('may', 'may'), ('ta', 'ta'), ('pis', 'pis')], [('aywa', 'aywa'), ('pti', 'pti'), ('n', 'n')], [('o', 'o')], [('rekluta', 'rekluta')], [('apa', 'apa'), ('ya', 'yaA'), ('shqa', 'shqa')], [('ka', 'ka'), ('ya', 'yaA'), ('pti', 'pti'), ('n', 'n')]]	[['tsay[PRON]+naw[Equ]+mi[Asrt]', 'tsaynaw[ADV]+mi[Asrt]'], ['ka[AUX]+y[Inf]', 'kay[DET]', 'kay[PRON]', 'ka[AUX]+y[Imp.2]'], ['chonta[PROPN]+chaw[Loc]+pis[Coord]'], ['warmi[N]+kuna[Pl]'], ['rura[VTr]+yaA[VPl]+n[3]'], ['wawa[N]+n[Poss.3]+kuna[Pl]'], ['o[CCONJ]'], ['quwa[N]+n[Poss.3]+kuna[Pl]'], ['may[PRON]+ta[Obj]+pis(Pron.Indef)'], ['aywa[VTr]+pti[Cnv](N)+n[Poss.3]'], ['o[CCONJ]'], ['rekluta[UNK]'], ['apa[VTr]+yaA[VPl]+shqa[Prf](N)'], ['kaya[VTr]+pti[Cnv](N)+n[Poss.3]', 'ka[AUX]+yaA[VPl]+pti[Cnv](N)+n[Poss.3]']]
Tsaynash huk kaq almaqa nin, “Kompadri, aku nuqapa wayiitaraq.	Entonces la primera alma dijo, “Compadre, vamos a mi casa todavía.	CRH-34-017	[['tsayna[ADV]+shi[Nfh]'], ['huk[NUM.Card]'], ['kaq[COP]'], ['alma[N]+qa[Top]'], ['ni[VTr]+n[3]'], ['kompadri[N]'], ['aku[INTJ]'], ['nuqa[PRON.Prs]+pa[Gen]'], ['wayi[N]+ː[Poss.1Sg]+ta[Obj]+raq[Inacp]']]	[[('Tsayna', 'tsayna'), ('sh', 'shi')], [('huk', 'huk')], [('kaq', 'kaq')], [('alma', 'alma'), ('qa', 'qa')], [('ni', 'ni'), ('n', 'n')], [('Kompadri', 'kompadri')], [('aku', 'aku')], [('nuqa', 'nuqa'), ('pa', 'pa')], [('wayi', 'wayi'), ('i', 'ː'), ('ta', 'ta'), ('raq', 'raq')]]	[['tsay[PRON]+na[Acp]+shi[Nfh]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['ka[AUX]+q[Hab]', 'kaq[COP]', 'ka[AUX]+q[1.Sbj][2.Obj]', 'ka[AUX]+q[Agt]'], ['alma[N]+qa[Top]'], ['ni[VTr]+n[3]'], ['kompadri[N]'], ['aku[N]', 'aku[INTJ]'], ['nuqa[PRON.Prs]+pa[Prol]', 'nuqa[PRON.Prs]+pa[Man]', 'nuqa[PRON.Prs]+pa[Gen]'], ['wayi[N]+ː[Poss.1Sg]+ta[Obj]+raq[Inacp]']]
